,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
10,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,26.0,74,44,30,0.595,33.5,111.6,7.2,0.21,0.312,1.0,0.164,1.1,0.312,11.0,9.5,10.5,33.2,0.085,3,2,13,5,2,15,1,3,3,5,13,2,4,17,17,18,17,3,2021-22
11,1630195,Leandro Bolmaro,Leandro,1610612750,MIN,21.0,35,19,16,0.543,6.9,102.5,0.8,0.107,0.159,0.2,0.14,0.0,0.0,2.4,1.3,1.5,5.8,0.037,14,15,6,15,15,3,17,12,12,16,15,16,16,4,3,4,3,15,2021-22
12,1627736,Malik Beasley,Malik,1610612750,MIN,25.0,79,46,33,0.582,25.0,110.1,2.5,0.1,0.149,0.5,0.12,0.2,0.054,8.4,7.2,7.4,23.7,0.075,1,1,15,8,7,10,9,14,13,10,16,14,15,13,11,13,13,6,2021-22
13,1630593,McKinley Wright IV,McKinley,1610612750,MIN,23.0,5,3,2,0.6,3.8,128.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.8,5.2,-0.009,16,16,2,2,17,17,18,18,18,17,17,16,16,2,2,2,2,17,2021-22
14,1630233,Nathan Knight,Nathan,1610612750,MIN,24.0,37,22,15,0.595,7.2,101.9,1.4,0.174,0.249,0.2,0.194,0.2,0.348,2.4,2.1,1.3,6.4,0.04,13,13,5,5,14,2,12,5,6,15,8,11,3,5,5,3,5,14,2021-22
15,1629675,Naz Reid,Naz,1610612750,MIN,22.0,77,42,35,0.545,15.8,107.9,2.6,0.161,0.251,0.5,0.172,0.9,0.433,5.5,4.6,4.6,14.1,0.059,2,3,18,14,10,4,8,6,5,12,9,3,1,10,8,10,7,9,2021-22
16,201976,Patrick Beverley,Patrick,1610612750,MIN,33.0,58,33,25,0.569,25.4,109.8,3.1,0.119,0.182,1.2,0.239,0.9,0.311,8.3,7.6,7.9,24.6,0.078,11,11,7,12,5,8,6,9,8,3,5,4,5,12,13,14,14,5,2021-22
17,1627752,Taurean Prince,Taurean,1610612750,MIN,28.0,69,40,29,0.58,17.1,110.9,2.1,0.12,0.187,0.7,0.204,0.3,0.159,6.0,5.3,5.2,16.5,0.049,7,5,12,10,9,14,10,8,7,9,7,9,11,11,10,11,10,12,2021-22
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,19.0,72,23,49,0.319,32.1,115.6,3.8,0.121,0.178,1.1,0.195,0.5,0.146,11.3,9.8,10.4,34.1,0.048,1,1,16,6,3,15,3,7,7,2,8,6,9,15,15,16,14,10,2020-21
1,1630204,Ashton Hagans,Ashton,1610612750,MIN,21.0,2,0,2,0.0,2.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.0,0.029,16,16,1,16,16,1,16,16,16,16,16,16,16,1,1,1,1,15,2020-21
