,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
5,1610612750,2019,00,Jordan McLaughlin,Jordan,jordan-mclaughlin,6,G,5-11,185,"APR 09, 1996",24.0,R,Southern California,1629162,Signed on 07/19/19
6,1610612750,2019,00,Jake Layman,Jake,jake-layman,10,F,6-8,209,"MAR 07, 1994",26.0,3,Maryland,1627774,
7,1610612750,2019,00,Naz Reid,Naz,naz-reid,11,C-F,6-9,264,"AUG 26, 1999",20.0,R,Louisiana State,1629675,Signed on 07/04/19
8,1610612750,2019,00,Jacob Evans,Jacob,jacob-evans,12,G-F,6-4,210,"JUN 18, 1997",23.0,1,Cincinnati,1628980,
9,1610612750,2019,00,Omari Spellman,Omari,omari-spellman,14,F,6-8,245,"JUL 21, 1997",22.0,1,Villanova,1629016,
10,1610612750,2019,00,James Johnson,James,james-johnson,16,F,6-7,240,"FEB 20, 1987",33.0,10,Wake Forest,201949,
11,1610612750,2019,00,Josh Okogie,Josh,josh-okogie,20,G,6-4,213,"SEP 01, 1998",21.0,1,Georgia Tech,1629006,
12,1610612750,2019,00,Jarrett Culver,Jarrett,jarrett-culver,23,G-F,6-6,195,"FEB 20, 1999",21.0,R,Texas Tech,1629633,
13,1610612750,2019,00,Kelan Martin,Kelan,kelan-martin,30,F,6-5,230,"AUG 03, 1995",24.0,R,Butler,1629103,
14,1610612750,2019,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,6-11,248,"NOV 15, 1995",24.0,4,Kentucky,1626157,#1 Pick in 2015 Draft
15,1610612750,2019,00,Juancho Hernangomez,Juancho,juancho-hernangomez,41,F,6-9,214,"SEP 28, 1995",24.0,3,                                   ,1627823,
0,1610612750,2018,00,Jeff Teague,Jeff,jeff-teague,0,G,6-2,195,"JUN 10, 1988",31.0,9,Wake Forest,201952,
1,1610612750,2018,00,Tyus Jones,Tyus,tyus-jones,1,G,6-2,196,"MAY 10, 1996",23.0,3,Duke,1626145,
2,1610612750,2018,00,Jared Terrell,Jared,jared-terrell,3,G,6-3,227,"FEB 10, 1995",24.0,R,Rhode Island,1629123,
3,1610612750,2018,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,C,6-11,252,"JAN 18, 1990",29.0,5,Louisville,203476,
4,1610612750,2018,00,Jerryd Bayless,Jerryd,jerryd-bayless,8,G,6-3,200,"AUG 20, 1988",30.0,10,Arizona,201573,
5,1610612750,2018,00,Luol Deng,Luol,luol-deng,9,F,6-9,237,"APR 16, 1985",34.0,14,Duke,2736,
6,1610612750,2018,00,C.J. Williams,C.J.,cj-williams,12,G,6-5,226,"FEB 06, 1990",29.0,1,North Carolina State,203710,
7,1610612750,2018,00,Cam Reynolds,Cam,cam-reynolds,13,G,6-8,225,"FEB 07, 1995",24.0,R,Tulane,1629244,
8,1610612750,2018,00,Josh Okogie,Josh,josh-okogie,20,G,6-4,212,"SEP 01, 1998",20.0,R,Georgia Tech,1629006,
9,1610612750,2018,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F-G,6-8,194,"FEB 23, 1995",24.0,4,Kansas,203952,
10,1610612750,2018,00,Derrick Rose,Derrick,derrick-rose,25,G,6-3,200,"OCT 04, 1988",30.0,9,Memphis,201565,
11,1610612750,2018,00,Keita Bates-Diop,Keita,keita-bates-diop,31,F,6-9,229,"JAN 23, 1996",23.0,R,Ohio State,1628966,
12,1610612750,2018,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,7-0,248,"NOV 15, 1995",23.0,3,Kentucky,1626157,#1 Pick in 2015 Draft
13,1610612750,2018,00,Robert Covington,Robert,robert-covington,33,F,6-9,225,"DEC 14, 1990",28.0,5,Tennessee State,203496,
14,1610612750,2018,00,Dario Saric,Dario,dario-saric,36,F,6-10,223,"APR 08, 1994",25.0,2,Anadolu Efes,203967,
15,1610612750,2018,00,Anthony Tolliver,Anthony,anthony-tolliver,43,F,6-8,250,"JUN 01, 1985",34.0,10,Creighton,201229,
16,1610612750,2018,00,Mitchell Creek,Mitchell,mitchell-creek,55,F-G,6-6,225,"APR 27, 1992",27.0,R,,1628249,
17,1610612750,2018,00,Taj Gibson,Taj,taj-gibson,67,F,6-9,232,"JUN 24, 1985",34.0,9,Southern California,201959,
0,1610612750,2017,00,Jeff Teague,Jeff,jeff-teague,0,G,6-2,189,"JUN 10, 1988",30.0,8,Wake Forest,201952,
1,1610612750,2017,00,Tyus Jones,Tyus,tyus-jones,1,G,6-2,184,"MAY 10, 1996",22.0,2,Duke,1626145,
2,1610612750,2017,00,Anthony Brown,Anthony,anthony-brown,3,F-G,6-7,224,"OCT 10, 1992",25.0,2,Stanford,1626148,
3,1610612750,2017,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,C,6-11,251,"JAN 18, 1990",28.0,4,Louisville,203476,
4,1610612750,2017,00,Nemanja Bjelica,Nemanja,nemanja-bjelica,8,F,6-10,230,"MAY 09, 1988",30.0,2,                                   ,202357,
5,1610612750,2017,00,Amile Jefferson,Amile,amile-jefferson,10,F,6-9,224,"MAY 07, 1993",25.0,R,Duke,1628518,
6,1610612750,2017,00,Jamal Crawford,Jamal,jamal-crawford,11,G,6-5,185,"MAR 20, 1980",38.0,17,Michigan,2037,
7,1610612750,2017,00,Marcus Georges-Hunt,Marcus,marcus-georges-hunt,13,G,6-5,226,"MAR 28, 1994",24.0,1,Georgia Tech,1627875,
8,1610612750,2017,00,Andrew Wiggins,Andrew,andrew-wiggins,22,F,6-8,202,"FEB 23, 1995",23.0,3,Kansas,203952,
9,1610612750,2017,00,Jimmy Butler,Jimmy,jimmy-butler,23,G,6-8,236,"SEP 14, 1989",28.0,6,Marquette,202710,
10,1610612750,2017,00,Justin Patton,Justin,justin-patton,24,C,7-0,236,"JUN 14, 1997",21.0,R,Creighton,1628383,
11,1610612750,2017,00,Derrick Rose,Derrick,derrick-rose,25,G,6-3,190,"OCT 04, 1988",29.0,8,Memphis,201565,
12,1610612750,2017,00,Aaron Brooks,Aaron,aaron-brooks,30,G,6-0,161,"JAN 14, 1985",33.0,9,Oregon,201166,
13,1610612750,2017,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C,7-0,248,"NOV 15, 1995",22.0,2,Kentucky,1626157,#1 Pick in 2015 Draft
14,1610612750,2017,00,Cole Aldrich,Cole,cole-aldrich,45,C,6-11,253,"OCT 31, 1988",29.0,7,Kansas,202332,
15,1610612750,2017,00,Taj Gibson,Taj,taj-gibson,67,F,6-9,235,"JUN 24, 1985",33.0,8,Southern California,201959,
0,1610612750,2016,00,Tyus Jones,Tyus,tyus-jones,1,G,6-2,195,"MAY 10, 1996",21.0,1,Duke,1626145,
1,1610612750,2016,00,Kris Dunn,Kris,kris-dunn,3,G,6-4,205,"MAR 18, 1994",23.0,R,Providence,1627739,
2,1610612750,2016,00,Brandon Rush,Brandon,brandon-rush,4,G-F,6-6,225,"JUL 07, 1985",31.0,8,Kansas,201575,
3,1610612750,2016,00,Gorgui Dieng,Gorgui,gorgui-dieng,5,F-C,6-11,240,"JAN 18, 1990",27.0,3,Louisville,203476,
4,1610612750,2016,00,Zach LaVine,Zach,zach-lavine,8,G,6-5,185,"MAR 10, 1995",22.0,2,UCLA,203897,
5,1610612750,2016,00,Ricky Rubio,Ricky,ricky-rubio,9,G,6-4,190,"OCT 21, 1990",26.0,5,FC Barcelona,201937,
6,1610612750,2016,00,Nikola Pekovic,Nikola,nikola-pekovic,14,C,6-11,307,"JAN 03, 1986",31.0,6,Panathinaikos,201593,
7,1610612750,2016,00,Shabazz Muhammad,Shabazz,shabazz-muhammad,15,F,6-6,223,"NOV 13, 1992",24.0,3,UCLA,203498,
8,1610612750,2016,00,Omri Casspi,Omri,omri-casspi,18,F,6-9,225,"JUN 22, 1988",29.0,7,Maccabi Tel Aviv,201956,
