,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_ID
11,1630568,Luka Garza,Luka,1610612750,MIN,24.0,28,15,13,0.536,44.8,11.6,21.4,0.543,2.6,7.2,0.359,7.6,9.6,0.788,6.1,5.5,11.6,3.3,2.6,0.6,0.4,1.5,7.9,6.4,33.3,3.3,52.4,0,0,52.7,14,13,14,4,17,3,3,4,9,11,11,1,1,10,1,8,4,11,8,19,13,2,2,3,2,4,6,9,2,5,2022-23
12,1630346,Matt Ryan,Matt,1610612750,MIN,26.0,22,10,12,0.455,45.0,6.2,14.7,0.424,4.7,12.2,0.388,1.5,1.7,0.857,0.5,2.5,3.0,3.0,1.0,0.7,0.2,1.0,3.2,1.2,18.7,5.2,28.7,0,0,31.3,18,17,16,19,15,15,11,16,1,1,5,16,17,5,18,19,19,13,19,18,17,7,16,19,14,3,18,9,2,16,2022-23
13,201144,Mike Conley,Mike,1610612750,MIN,35.0,24,12,12,0.5,47.9,6.9,14.9,0.46,3.7,8.8,0.42,4.0,4.6,0.863,1.0,3.8,4.8,7.6,1.8,1.8,0.3,0.4,2.9,4.1,21.4,2.0,43.1,1,0,41.7,16,15,16,11,2,12,10,12,3,5,1,6,7,4,11,15,15,4,15,5,16,19,19,6,9,6,11,7,2,10,2022-23
14,1630233,Nathan Knight,Nathan,1610612750,MIN,25.0,38,19,19,0.5,45.0,7.1,12.5,0.568,1.2,3.4,0.364,6.0,8.8,0.684,3.4,5.3,8.7,2.0,3.3,1.5,0.9,1.1,6.3,5.1,21.5,-1.4,39.1,0,0,38.4,11,11,11,11,16,11,16,3,15,16,9,2,2,16,3,9,8,18,5,8,8,5,4,4,8,13,12,9,2,12,2022-23
15,1629675,Naz Reid,Naz,1610612750,MIN,23.0,68,32,36,0.471,46.1,11.4,21.3,0.537,2.8,8.0,0.346,3.2,4.7,0.677,2.7,9.6,12.3,2.8,3.4,1.5,2.0,1.2,6.5,4.1,28.8,-4.7,54.9,4,0,53.6,5,6,3,17,11,4,4,5,8,8,13,9,6,17,4,3,3,16,4,9,3,4,3,7,5,16,3,6,2,4,2022-23
16,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,24.0,23,11,12,0.478,46.3,6.2,16.3,0.384,3.4,9.4,0.361,1.7,2.7,0.619,0.9,4.6,5.5,4.2,1.3,1.0,0.9,1.0,3.9,2.7,17.6,-4.3,34.9,0,0,34.5,17,16,16,16,9,14,9,19,5,4,10,15,14,19,13,11,12,9,17,16,9,6,10,12,15,15,16,9,2,14,2022-23
17,203497,Rudy Gobert,Rudy,1610612750,MIN,31.0,70,34,36,0.486,48.0,8.0,12.2,0.659,0.0,0.1,0.0,4.9,7.6,0.644,5.2,13.0,18.2,1.9,2.7,1.3,2.1,0.9,4.7,7.1,21.0,-0.2,53.1,35,0,47.8,3,4,3,14,1,9,17,2,19,19,19,5,3,18,2,2,2,19,6,13,2,10,8,1,10,11,5,1,2,6,2022-23
18,1627752,Taurean Prince,Taurean,1610612750,MIN,29.0,54,31,23,0.574,45.9,6.8,14.6,0.467,2.8,7.5,0.381,2.5,3.0,0.844,0.6,4.5,5.1,3.2,2.7,1.1,0.6,0.5,4.7,3.3,19.0,0.0,32.2,0,0,33.4,7,7,9,2,12,13,12,10,7,10,6,12,12,7,17,12,14,12,7,15,11,15,7,9,12,10,17,9,2,15,2022-23
19,1631111,Wendell Moore Jr.,Wendell,1610612750,MIN,21.0,29,16,13,0.552,44.6,5.3,12.6,0.419,0.6,5.0,0.118,1.2,1.5,0.8,1.2,4.1,5.3,5.3,2.3,2.3,1.5,0.9,3.8,2.0,12.3,-15.5,35.6,0,0,31.0,12,12,14,3,18,17,15,18,18,15,18,18,18,9,10,14,13,7,11,1,6,11,11,17,18,19,14,9,2,18,2022-23
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,20.0,72,39,33,0.542,47.5,10.6,24.0,0.441,4.1,11.6,0.357,4.2,5.4,0.786,1.2,5.4,6.6,5.3,3.7,2.0,0.9,0.9,3.2,3.9,29.5,3.6,50.5,4,0,51.4,5,7,2,16,3,2,1,10,2,3,6,5,5,6,10,11,12,7,4,6,11,6,12,7,2,5,5,4,2,2,2021-22
