,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
6,1629020,Jarred Vanderbilt,1610612750,MIN,22.0,6-9,81,214,Kentucky,USA,2018,2,41,64,5.4,5.8,1.2,-1.1,0.096,0.211,0.118,0.612,0.091,2020-21
7,1629633,Jarrett Culver,1610612750,MIN,22.0,6-6,78,195,Texas Tech,USA,2019,1,6,34,5.3,3.1,0.7,-10.7,0.059,0.132,0.179,0.476,0.079,2020-21
8,1629669,Jaylen Nowell,1610612750,MIN,21.0,6-4,76,201,Washington,USA,2019,2,43,42,9.0,2.3,1.5,-6.6,0.022,0.098,0.206,0.528,0.13,2020-21
9,1629162,Jordan McLaughlin,1610612750,MIN,25.0,5-11,71,185,Southern California,USA,Undrafted,Undrafted,Undrafted,51,5.0,2.1,3.8,-6.3,0.02,0.09,0.133,0.502,0.292,2020-21
10,1629006,Josh Okogie,1610612750,MIN,22.0,6-4,76,213,Georgia Tech,Nigeria,2018,1,20,59,5.4,2.6,1.1,-6.6,0.048,0.079,0.119,0.524,0.072,2020-21
11,1627823,Juancho Hernangomez,1610612750,MIN,25.0,6-9,81,214,None,Spain,2016,1,15,52,7.2,3.9,0.7,-4.9,0.047,0.177,0.167,0.549,0.055,2020-21
12,1626157,Karl-Anthony Towns,1610612750,MIN,25.0,6-11,83,248,Kentucky,USA,2015,1,1,50,24.8,10.6,4.5,-0.1,0.075,0.237,0.286,0.612,0.216,2020-21
13,1627736,Malik Beasley,1610612750,MIN,24.0,6-4,76,187,Florida State,USA,2016,1,19,37,19.6,4.4,2.4,-7.2,0.021,0.112,0.235,0.57,0.114,2020-21
14,1629675,Naz Reid,1610612750,MIN,21.0,6-9,81,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,70,11.2,4.6,1.0,-9.7,0.054,0.173,0.218,0.599,0.088,2020-21
15,201937,Ricky Rubio,1610612750,MIN,30.0,6-3,75,190,None,Spain,2009,1,5,68,8.6,3.3,6.4,-5.0,0.014,0.11,0.155,0.516,0.33,2020-21
0,203459,Allen Crabbe,1610612750,MIN,28.0,6-5,77,212,California,USA,2013,2,31,9,3.2,1.3,0.6,-17.4,0.006,0.091,0.12,0.416,0.054,2019-20
2,1626156,D'Angelo Russell,1610612750,MIN,24.0,6-4,76,193,Ohio State,USA,2015,1,2,12,21.7,4.6,6.6,-2.3,0.007,0.125,0.281,0.553,0.302,2019-20
4,1628980,Jacob Evans,1610612750,MIN,23.0,6-4,76,210,Cincinnati,USA,2018,1,28,2,0.0,0.0,0.0,90.9,0.0,0.0,0.091,0.0,0.0,2019-20
5,1627774,Jake Layman,1610612750,MIN,26.0,6-8,80,209,Maryland,USA,2016,2,47,23,9.1,2.5,0.7,2.0,0.03,0.075,0.165,0.544,0.041,2019-20
6,201949,James Johnson,1610612750,MIN,33.0,6-7,79,240,Wake Forest,USA,2009,1,16,14,12.0,4.7,3.8,-11.4,0.043,0.145,0.201,0.588,0.235,2019-20
7,1629020,Jarred Vanderbilt,1610612750,MIN,21.0,6-9,81,214,Kentucky,USA,2018,2,41,2,1.0,0.5,0.0,-74.7,0.0,0.143,0.182,0.532,0.0,2019-20
8,1629633,Jarrett Culver,1610612750,MIN,21.0,6-6,78,195,Texas Tech,USA,2019,1,6,63,9.2,3.4,1.7,-3.3,0.041,0.092,0.187,0.467,0.105,2019-20
9,1629669,Jaylen Nowell,1610612750,MIN,20.0,6-4,76,201,Washington,USA,2019,2,43,15,3.8,0.9,1.3,1.2,0.016,0.065,0.165,0.471,0.194,2019-20
12,1629162,Jordan McLaughlin,1610612750,MIN,24.0,5-11,71,185,Southern California,USA,Undrafted,Undrafted,Undrafted,30,7.6,1.6,4.2,-5.8,0.01,0.079,0.151,0.587,0.303,2019-20
13,1629006,Josh Okogie,1610612750,MIN,21.0,6-4,76,213,Georgia Tech,Nigeria,2018,1,20,62,8.6,4.3,1.6,-4.7,0.05,0.114,0.148,0.553,0.089,2019-20
14,1627823,Juancho Hernangomez,1610612750,MIN,24.0,6-9,81,214,None,Spain,2016,1,15,14,12.9,7.3,1.3,-5.9,0.042,0.208,0.167,0.576,0.057,2019-20
15,1626157,Karl-Anthony Towns,1610612750,MIN,24.0,6-11,83,248,Kentucky,USA,2015,1,1,35,26.5,10.8,4.4,-1.5,0.075,0.24,0.278,0.642,0.21,2019-20
17,1629103,Kelan Martin,1610612750,MIN,24.0,6-5,77,230,Butler,USA,Undrafted,Undrafted,Undrafted,31,6.4,3.1,0.7,-1.7,0.021,0.154,0.171,0.506,0.071,2019-20
18,1627736,Malik Beasley,1610612750,MIN,23.0,6-4,76,187,Florida State,USA,2016,1,19,14,20.7,5.1,1.9,-7.7,0.018,0.137,0.231,0.591,0.091,2019-20
19,1629675,Naz Reid,1610612750,MIN,20.0,6-9,81,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,30,9.0,4.1,1.2,0.7,0.06,0.176,0.234,0.505,0.106,2019-20
0,203952,Andrew Wiggins,1610612750,MIN,24.0,6-8,80,194,Kansas,Canada,2014,1,1,73,18.1,4.8,2.5,-1.2,0.031,0.099,0.24,0.493,0.108,2018-19
1,201229,Anthony Tolliver,1610612750,MIN,34.0,6-8,80,250,Creighton,USA,Undrafted,Undrafted,Undrafted,65,5.0,2.7,0.7,-4.1,0.012,0.143,0.121,0.571,0.059,2018-19
2,203710,C.J. Williams,1610612750,MIN,29.0,6-5,77,226,North Carolina State,USA,2012,0,0,15,2.6,0.5,0.8,-17.5,0.007,0.053,0.138,0.55,0.158,2018-19
3,1629244,Cam Reynolds,1610612750,MIN,24.0,6-8,80,225,Tulane,USA,Undrafted,Undrafted,Undrafted,19,5.0,1.6,0.7,-4.9,0.014,0.102,0.141,0.58,0.073,2018-19
4,203967,Dario Saric,1610612750,MIN,25.0,6-10,82,223,None,Croatia,2014,1,12,68,10.5,5.5,1.5,-1.8,0.06,0.157,0.172,0.579,0.087,2018-19
5,201565,Derrick Rose,1610612750,MIN,30.0,6-3,75,200,Memphis,USA,2008,1,1,51,18.0,2.7,4.3,0.7,0.022,0.07,0.261,0.557,0.244,2018-19
6,203476,Gorgui Dieng,1610612750,MIN,29.0,6-11,83,252,Louisville,Senegal,2013,1,21,76,6.4,4.1,0.9,-3.8,0.072,0.225,0.194,0.572,0.106,2018-19
9,1629123,Jared Terrell,1610612750,MIN,24.0,6-3,75,227,Rhode Island,USA,Undrafted,Undrafted,Undrafted,14,2.2,0.4,0.9,-12.3,0.008,0.044,0.197,0.372,0.182,2018-19
10,201952,Jeff Teague,1610612750,MIN,31.0,6-2,74,195,Wake Forest,USA,2009,1,19,42,12.1,2.5,8.2,-0.1,0.012,0.067,0.186,0.528,0.366,2018-19
11,201573,Jerryd Bayless,1610612750,MIN,30.0,6-3,75,200,Arizona,USA,2008,1,11,34,6.1,1.8,3.5,-12.4,0.015,0.08,0.172,0.431,0.262,2018-19
13,1629006,Josh Okogie,1610612750,MIN,20.0,6-4,76,212,Georgia Tech,Nigeria,2018,1,20,74,7.7,2.9,1.2,-1.0,0.021,0.098,0.148,0.492,0.068,2018-19
