,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_ID,SHOT_DISTANCE,HEIGHT,WEIGHT,NET_RATING,CONTESTED_SHOTS,OFF_RATING,DEF_RATING,PIE,USG_PCT,POSS,DEF_WS,POSITION
29,1627736,Malik Beasley,Malik,1610612750,MIN,25.0,79,46,33,0.582,25.0,4.2,10.8,0.391,3.0,8.1,0.377,0.6,0.8,0.817,0.3,2.5,2.9,1.5,0.5,0.5,0.2,0.4,1.1,0.5,12.1,1.0,19.3,0,0,20.8,1,1,2,8,7,4,4,16,1,2,4,13,13,4,15,9,9,8,12,10,14,5,12,15,4,7,8,9,2,6,2021-22,20.25764705882353,76,187,2.0,0.03620253164556962,112.1,110.1,0.081,0.189,4250,0.075,G
30,1630593,McKinley Wright IV,McKinley,1610612750,MIN,23.0,5,3,2,0.6,3.8,0.4,0.6,0.667,0.2,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.2,0.0,1.0,-1.4,1.7,0,0,1.8,16,16,17,2,17,17,17,1,13,14,1,17,17,17,17,18,18,13,17,17,16,17,17,17,17,17,17,9,2,17,2021-22,19.0,71,192,-25.8,0.08,102.4,128.2,0.06,0.082,42,-0.009,G
31,1630233,Nathan Knight,Nathan,1610612750,MIN,24.0,37,22,15,0.595,7.2,1.2,2.4,0.511,0.1,0.4,0.308,1.2,1.6,0.733,0.9,1.4,2.3,0.6,0.5,0.2,0.2,0.3,1.1,1.2,3.7,0.6,8.1,1,0,7.5,13,13,14,5,14,13,13,5,15,15,12,6,8,11,7,12,11,15,13,15,11,10,11,8,13,10,13,7,2,13,2021-22,5.193181818181818,82,253,3.6,0.07675675675675675,105.5,101.9,0.121,0.203,580,0.04,F-C
32,1629675,Naz Reid,Naz,1610612750,MIN,22.0,77,42,35,0.545,15.8,3.0,6.2,0.489,0.7,2.2,0.343,1.5,1.9,0.765,1.3,2.6,3.9,0.9,1.1,0.5,0.9,0.4,2.2,1.7,8.3,-1.2,17.6,4,0,16.7,2,3,1,14,10,9,8,6,9,9,7,5,5,8,4,8,7,12,7,12,3,6,7,6,8,16,9,4,2,9,2021-22,10.163865546218487,81,264,-2.4,0.07077922077922078,105.5,107.9,0.103,0.209,2616,0.059,C-F
33,201976,Patrick Beverley,Patrick,1610612750,MIN,33.0,58,33,25,0.569,25.4,3.1,7.5,0.406,1.4,4.2,0.343,1.7,2.3,0.722,1.1,3.1,4.1,4.6,1.3,1.2,0.9,0.4,3.0,2.5,9.2,1.9,26.0,2,0,23.5,11,11,11,12,5,8,6,14,5,5,8,4,4,13,6,6,6,2,5,3,4,9,3,4,6,5,5,6,2,4,2021-22,16.126146788990827,73,180,3.7,0.05293103448275862,113.6,109.8,0.094,0.158,3105,0.078,G
34,1627752,Taurean Prince,Taurean,1610612750,MIN,28.0,69,40,29,0.58,17.1,2.6,5.7,0.454,1.2,3.3,0.376,0.9,1.2,0.756,0.4,2.1,2.5,1.0,0.8,0.7,0.3,0.2,1.7,1.2,7.3,-0.1,14.1,0,0,14.1,7,5,7,10,9,11,9,9,6,7,5,9,10,9,12,10,10,11,9,9,9,14,9,10,9,13,11,9,2,11,2021-22,16.66923076923077,78,218,0.7,0.04492753623188406,111.6,110.9,0.076,0.166,2553,0.049,F
35,1630162,Anthony Edwards,Anthony,1610612750,MIN,19.0,72,23,49,0.319,32.1,7.0,16.8,0.417,2.4,7.2,0.329,2.9,3.8,0.776,0.8,3.8,4.7,2.9,2.2,1.1,0.5,0.9,1.8,2.6,19.3,-3.2,32.0,3,0,32.6,1,1,1,6,3,3,2,11,4,3,8,2,2,6,9,3,4,5,3,2,6,2,8,3,3,11,3,4,1,3,2020-21,13.761354252683732,76,225,-5.0,0.06388888888888888,110.6,115.6,0.094,0.264,4961,0.048,G
36,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,25.0,42,16,26,0.381,28.5,6.7,15.5,0.431,2.9,7.4,0.387,2.7,3.5,0.765,0.4,2.3,2.6,5.8,2.7,1.1,0.4,0.4,1.6,3.3,19.0,-4.6,32.7,6,0,33.3,11,9,14,1,4,4,4,9,2,2,3,3,3,9,14,10,12,2,2,3,8,9,12,2,4,15,2,2,1,2,2020-21,17.375766871165645,76,193,-7.0,0.10261904761904761,109.7,116.8,0.114,0.283,2591,0.033,G
37,202334,Ed Davis,Ed,1610612750,MIN,32.0,23,5,18,0.217,13.0,0.8,1.9,0.432,0.0,0.0,0.0,0.4,0.5,0.833,2.0,3.0,5.0,0.9,0.3,0.6,0.6,0.3,2.4,0.5,2.1,-2.0,12.5,0,0,10.3,15,15,15,13,15,15,15,8,15,15,15,14,15,4,2,7,3,12,16,10,5,14,4,15,15,7,13,8,1,14,2020-21,1.5227272727272727,81,218,-7.6,0.16652173913043478,101.4,109.0,0.079,0.078,631,0.044,C-F
38,1630183,Jaden McDaniels,Jaden,1610612750,MIN,20.0,63,18,45,0.286,24.0,2.6,5.8,0.447,1.1,3.1,0.364,0.4,0.7,0.6,0.8,2.9,3.7,1.1,0.7,0.6,1.0,0.2,2.7,0.7,6.8,-1.6,16.7,0,0,15.7,5,7,4,9,6,8,8,5,6,8,4,15,13,14,8,9,8,9,10,11,3,15,2,14,9,5,8,8,1,8,2020-21,15.53133514986376,81,185,-3.4,0.11888888888888889,109.6,113.1,0.05,0.118,3250,0.053,F
